_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
79028,tt0301263,existing_imdb_id,matched,1
79029,tt0907610,exact_title_type_year,matched,1
79030,,,not_found,0
79031,tt0385423,existing_imdb_id,matched,1
79032,tt0307742,existing_imdb_id,matched,1
79033,,,not_found,0
79034,tt0313090,exact_title_type_year,matched,1
79035,tt0389600,existing_imdb_id,matched,1
79036,tt38166015,exact_title_type_year,matched,1
79037,tt0328732,existing_imdb_id,matched,1
79038,,,year_mismatch,4
79039,tt0364164,exact_title_type_year,matched,1
79040,,,not_found,0
79041,tt0353101,existing_imdb_id,matched,1
79042,tt0307816,existing_imdb_id,matched,1
